Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
20105970312,"Sep 9, 2026, 4:49:07 PM",Evening Run,Run,,1968,4.92,154.0,16,false,,New Balance Propel v4,activities/21252059946.fit.gz,,,1968.0,1925.0,4922.7,3.9,2.557,73.0,157.0,416.0,531.0,23.8,-1.8,,,123.0,77.0,154.0,136.0,,,357.0,,21.2,16.0,,,,,,,,,,,,,0.0,,1.0,5193.7,1788969600.0,3.0,16.6,16.4,10.0,0.65,1016.6,1.0,3.0,269.0,0.0,1788929719.0,1788976239.0,0.875,,18204863.0,0.98,5.0,1.0,26310.0,1.0,,,,,,2.501,3840.7,,,,4894.0,0.0,,,,2.698,,,,,,,,,,,,|
20077310404,"Sep 7, 2026, 4:59:23 PM",Corsa serale,Run,,1770,4.78,175.0,33,false,,New Balance Propel v4,activities/21221527304.fit.gz,,,1770.0,1759.0,4788.5,4.34,2.722,150.0,76.0,505.8,631.2,20.3,1.6,,,85.0,75.0,175.0,150.0,,,373.0,,27.0,33.0,,,,,,,,,,,,,0.0,,1.0,5341.9,1788796800.0,2.0,29.3,30.7,17.8,0.5,1020.3,1.2,3.7,246.0,0.0,1788756762.0,1788803679.0,0.875,,18204863.0,0.41,5.0,0.47,27675.0,1.0,,,,,,2.705,3830.9,,,,4378.0,0.0,,,,3.037,,,,,,,,,,,,|
20060984242,"Sep 6, 2026, 10:09:17 AM",pt.3,Ride,"",6788,28.51,175.0,60,false,,,activities/21204073319.fit.gz,,,6788.0,5188.0,28515.1,15.06,5.496,444.6,306.1,363.1,609.8,38.9,0.5,,,,,175.0,137.0,,110.0,880.0,,29.0,60.0,,,,,,,,,,,,,0.0,,1.0,,1788688800.0,1.0,22.1,23.5,13.4,0.58,1025.1,2.7,6.0,56.0,0.0,1788670324.0,1788717451.0,0.875,,,0.0,1.0,0.11,26535.0,5.0,,,,,,4.201,63.4,,,,,0.0,,,,,,,,,,,,,,,,|
20060972293,"Sep 6, 2026, 8:41:30 AM",pt.2,Ride,"",2828,19.26,151.0,12,false,,,activities/21204064852.fit.gz,,,2828.0,2696.0,19259.8,11.32,7.144,446.0,524.0,350.2,478.6,31.4,-0.5,,,,,151.0,120.0,,153.0,373.0,,27.0,12.0,,,,,,,,,,,,,0.0,,1.0,,1788681600.0,1.0,18.9,20.7,12.8,0.68,1025.6,2.3,5.6,39.0,0.0,1788670283.0,1788717398.0,0.875,,,0.0,1.0,0.1,24416.0,2.0,,,,,,6.81,0.0,,,,,0.0,,,,,,,,,,,,,,,,|
20060960803,"Sep 6, 2026, 7:44:02 AM",pt.1,Ride,"",1518,5.37,162.0,5,false,,,activities/21204052704.fit.gz,,,1518.0,871.0,5369.9,15.06,6.165,101.0,162.0,419.6,539.0,36.3,-1.1,,,,,162.0,125.0,,134.0,159.0,,27.0,5.0,,,,,,,,,,,,,0.0,,1.0,,1788678000.0,1.0,15.6,18.8,12.3,0.81,1025.7,0.4,2.2,18.0,0.0,1788670283.0,1788717398.0,0.875,,,0.0,1.0,0.12,23420.0,1.0,,,,,,3.537,16.0,,,,,0.0,,,,,,,,,,,,,,,,|
20044058228,"Sep 5, 2026, 9:17:17 AM",Corsa dell'ora di pranzo,Run,,2414,5.74,180.0,33,false,,New Balance Propel v4,activities/21186062760.fit.gz,,,2414.0,2273.0,5741.0,4.78,2.526,94.0,105.0,482.4,563.0,48.5,-0.1,,,111.0,76.0,180.0,142.0,,,420.0,,25.0,33.0,,,,,,,,,,,,,0.0,,1.0,6066.0,1788598800.0,3.0,21.6,21.3,15.9,0.7,1022.9,2.2,5.4,276.0,0.0,1788583804.0,1788631116.0,0.875,,18204863.0,0.58,5.0,0.9,20316.0,3.0,,,,,,2.378,4240.5,,,,5502.0,0.0,,,,2.669,,,,,,,,,,,,|
20009013775,"Sep 2, 2026, 5:13:38 PM",Corsa serale,Run,,1811,4.80,164.0,26,false,,New Balance Propel v4,activities/21148440835.fit.gz,,,1811.0,1784.0,4800.9,4.95,2.69,64.0,64.0,501.4,537.0,27.4,-0.1,,,84.0,77.0,164.0,145.0,,,352.0,,24.8,26.0,,,,,,,,,,,,,0.0,,1.0,4968.3,1788368400.0,3.0,25.4,25.5,11.5,0.42,1020.3,1.2,3.5,291.0,0.0,1788324368.0,1788372274.0,0.625,,18204863.0,0.0,1.0,0.87,29264.0,0.0,,,,,,2.651,3863.4,,,,4554.0,0.0,,,,2.784,,,,,,,,,,,,|
19966276446,"Aug 30, 2026, 4:07:12 PM",Evening Run,Run,,1939,4.86,165.0,29,false,,New Balance Propel v4,activities/21103995989.fit.gz,,,1939.0,1926.0,4859.4,3.883,2.523,67.0,81.0,493.8,538.8,17.7,-0.3,,,113.0,76.0,165.0,143.0,,,364.0,,28.0,29.0,,,,,,,,,,,,,0.0,,1.0,5066.9,1788105600.0,1.0,28.4,29.9,14.2,0.42,1014.6,1.6,4.3,275.0,0.0,1788064930.0,1788113428.0,0.625,,18204863.0,0.36,5.0,0.25,27309.0,1.0,,,,,,2.506,3787.1,,,,4852.0,0.0,,,,2.631,,,,,,,,,,,,|
19870693958,"Aug 23, 2026, 9:49:39 AM",primo giretto svizzero,Hike,"ho fatto il signore in seggiovia fini ai 2000m

PS il mio barometro ha dei problemi, dovrebbero essere poco più di 600md+",11618,10.06,154.0,24,false,,Dynafit Trail,activities/21005750422.fit.gz,,,11618.0,9561.0,10068.4,2.06,1.053,791.0,1376.0,1772.6,2526.6,50.0,-4.4,,,124.0,55.0,154.0,96.0,,,782.0,,20.0,24.0,,,,,,,,,,,,,0.0,,1.0,,1787475600.0,1.0,10.0,13.1,5.0,0.71,1022.2,0.7,3.9,86.0,0.0,1787459403.0,1787509168.0,0.375,,19039024.0,0.41,5.0,0.18,21505.0,5.0,,,,,,0.867,10069.6,,,,16906.0,0.0,,,,,,16906.0,,,,,,,,,,||media/9E5D1B80-70A6-41F5-9412-35D58589F1AC.mp4
19870686274,"Aug 21, 2026, 4:59:58 PM",Evening Run,Run,,2083,4.66,166.0,19,false,,New Balance Propel v4,activities/21005742550.fit.gz,,,2083.0,1830.0,4664.3,6.72,2.549,84.0,174.0,362.8,536.0,20.9,-3.1,,,121.0,74.0,166.0,138.0,,,340.0,,22.0,19.0,,,,,,,,,,,,,0.0,,1.0,4931.9,1787328000.0,3.0,18.6,19.3,13.1,0.7,1012.3,1.5,3.4,189.0,0.1,1787286590.0,1787336827.0,0.375,,18204863.0,0.99,5.0,0.68,25313.0,1.0,,,,,,2.239,1942.7,,,,4492.0,0.0,,,,2.695,,,,,,,,,,,,|
