time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,53,93,0.0,121.8,1.791,-0.5585355,25
1,53,93,0.13,121.8,1.288,-0.5585355,25
4,51,94,6.39,121.8,2.165,-0.58106613,25
8,58,97,10.5,121.8,1.614,-0.65068525,25
10,59,96,13.56,122.0,1.493,-0.63492376,25
19,59,97,25.87,121.6,1.54,-0.44703454,25
23,59,100,28.97,121.2,1.549,-0.38103926,25
24,59,97,29.95,121.2,1.512,-0.21003023,25
25,59,96,32.05,121.2,1.512,-0.13571836,25
30,81,96,46.51,122.2,2.846,-0.064986296,25
32,81,96,52.11,123.0,2.827,0.07809376,25
34,80,97,58.14,123.8,2.659,0.17864838,25
35,80,98,61.44,124.2,2.622,0.25730684,25
38,42,101,70.92,124.4,2.631,0.23358855,25
40,42,104,76.46,125.0,2.687,0.11427982,25
41,83,106,79.42,125.2,2.706,0.09885913,25
43,83,109,85.46,125.4,2.734,0.07756873,25
45,82,115,91.31,125.8,2.743,-0.017467286,25
46,82,119,94.15,126.0,2.743,-0.045230087,25
48,82,123,99.85,126.2,2.743,-0.12905502,25
49,82,124,102.16,126.4,2.762,-0.2979652,25
52,82,127,110.34,126.6,2.771,-0.33171615,25
56,82,129,116.34,126.6,1.773,-0.5390749,25
67,59,128,133.73,127.0,1.736,-0.6895841,25
72,59,125,141.64,127.0,1.586,-1.1834998,25
77,60,125,149.5,127.2,1.53,-1.2847005,25
81,61,122,156.04,127.2,1.502,-1.5349873,25
84,61,119,160.42,127.2,1.493,-1.4326334,25
89,59,115,167.82,127.0,1.484,-1.3990288,25
92,59,112,173.47,127.0,1.474,-0.9730823,25
96,61,109,180.74,127.0,1.53,-0.85838294,25
106,61,107,198.05,126.8,1.726,-0.6532829,25
108,60,104,201.04,126.8,1.736,0.37315857,25
115,59,100,211.95,126.8,1.745,1.0292194,25
119,61,102,217.71,126.6,1.726,1.6873164,25
129,61,101,232.11,126.4,1.698,1.8688827,25
135,61,98,240.6,126.2,1.67,2.9781365,25
138,122,95,246.28,126.2,1.661,3.247565,25
139,79,95,248.77,126.2,1.661,3.389897,25
142,80,92,256.95,126.2,1.708,3.1629803,25
146,81,92,268.07,126.4,1.838,3.063914,25
149,81,95,276.53,126.4,2.071,3.2178042,25
151,81,98,281.55,126.6,2.239,3.2284095,25
154,82,100,290.07,126.6,2.398,3.0719695,24
157,81,103,299.8,126.6,2.491,2.9429321,24
158,81,106,302.63,126.6,2.491,3.0925071,24
162,82,109,314.09,126.8,2.538,2.2432637,24
164,82,113,319.61,127.0,2.529,2.3493595,24
166,82,116,325.48,127.0,2.547,1.8858987,24
169,41,120,333.37,127.0,2.594,1.6547619,24
170,40,121,335.98,127.0,2.622,1.2151877,24
174,79,124,344.81,126.8,2.65,0.6382802,24
176,80,125,349.5,126.4,2.687,0.16824223,24
177,80,125,352.36,126.4,2.687,-0.2874626,24
183,79,127,366.95,126.0,2.51,-0.5475194,24
189,64,127,377.15,125.8,2.174,-1.353248,24
195,62,124,383.71,125.6,1.362,-2.1108458,24
196,61,123,385.67,125.6,1.334,-2.0293105,24
199,61,120,391.88,125.6,1.306,-2.0582674,24
202,62,118,397.47,125.4,1.306,-1.96082,24
206,61,115,407.22,125.4,1.381,-1.6819308,24
208,61,112,411.71,125.4,1.381,-1.2074064,24
210,61,109,414.62,125.4,1.381,-1.120602,24
212,61,105,417.34,125.4,1.362,-0.9887192,24
214,59,101,420.47,125.6,1.353,-0.7575147,24
215,59,100,421.95,125.6,1.353,-0.38664132,24
218,60,98,426.9,125.6,1.344,-0.16033946,24
225,61,95,437.93,125.4,1.549,-0.027092101,24
229,60,96,443.86,125.8,1.437,0.20026171,24
234,60,96,452.24,126.0,1.353,0.26097098,24
237,61,97,456.7,126.0,1.372,0.32739857,24
245,61,96,469.32,126.2,1.381,0.3289665,24
251,59,93,478.32,126.4,1.381,0.34927663,24
254,59,92,482.85,126.4,1.381,0.3429997,24
262,59,90,494.56,126.6,1.39,0.38902646,24
268,60,93,505.75,126.8,1.4,0.5291548,24
269,60,93,507.26,126.8,1.4,0.83529556,24
276,59,94,518.08,127.2,1.409,0.8103783,24
278,59,94,520.74,127.4,1.409,1.062399,24
284,60,95,527.63,128.0,1.4,0.97410846,23
285,59,95,528.79,128.2,1.4,1.0551548,23
287,59,95,530.95,128.4,1.39,1.045011,23
289,59,94,533.08,128.6,1.39,1.0559103,23
292,60,92,536.33,128.6,1.372,1.0679941,23
299,59,95,550.71,128.6,1.409,1.0077584,23
300,120,96,552.35,128.6,1.456,1.1946039,23
302,120,99,557.72,128.6,1.456,1.1217546,23
306,78,101,568.43,128.4,1.558,1.0268403,23
312,79,102,588.09,128.2,1.95,0.9709412,23
315,80,105,598.51,128.0,2.043,0.503918,23
318,81,108,607.34,127.8,2.109,0.109687455,23
320,81,111,612.72,127.8,2.165,-0.27880394,23
323,80,115,620.46,127.8,2.267,-0.5056725,23
326,80,118,628.57,127.8,2.323,-0.60889673,23
327,80,118,631.72,127.8,2.342,-0.7203648,23
330,81,122,642.07,127.8,2.473,-0.7037798,23
333,81,123,652.63,127.4,2.669,-0.5597363,23
335,79,124,658.65,127.4,2.753,-0.5307685,23
339,79,127,669.32,127.2,2.837,-0.35866117,23
346,79,129,689.82,126.8,2.883,-0.5567674,23
354,79,128,711.49,126.4,2.799,-0.9095823,23
355,79,128,714.14,126.4,2.79,-1.7690473,23
356,79,128,716.83,126.2,2.781,-1.7494153,23
363,78,129,737.93,125.8,2.762,-1.8599513,23
364,78,130,740.76,125.6,2.762,-1.9905678,23
368,80,133,752.57,125.6,2.809,-1.8275143,23
370,80,134,759.13,125.4,2.818,-1.5657529,23
372,79,135,764.61,125.4,2.827,-1.4240721,23
375,79,136,772.46,125.0,2.827,-1.174954,23
382,80,136,795.44,124.8,2.837,-0.80488986,23
387,79,136,813.11,125.6,2.921,-0.38775784,23
390,79,136,822.34,126.0,3.032,0.35463908,23
394,78,138,833.56,126.6,3.06,0.5504768,23
397,78,138,841.59,127.0,3.06,1.3703667,23
403,79,141,857.51,127.2,2.986,1.5095863,22
404,79,141,859.99,127.2,2.976,3.7962475,22
411,79,143,880.23,127.2,2.967,3.6611235,22
412,79,143,883.09,127.2,2.893,4.6838403,22
418,80,145,899.13,127.2,2.865,3.935267,22
419,80,146,900.95,127.2,2.865,4.706564,22
420,40,146,902.46,127.2,2.865,4.3246284,22
421,40,147,903.69,127.2,2.762,4.029774,22
423,40,148,906.66,127.2,1.614,3.6229146,22
428,68,145,914.69,127.0,1.745,3.2956245,22
430,59,144,918.21,127.0,1.717,3.210186,22
439,60,141,931.5,126.6,1.689,2.4841113,22
447,59,138,943.35,126.4,1.67,1.5895885,22
451,59,135,949.92,126.4,1.717,0.58273816,22
454,60,132,954.54,126.4,1.754,0.021590993,22
458,59,128,959.86,126.4,1.754,-0.4170391,22
460,58,125,962.78,126.4,1.754,-0.7339268,21
466,58,121,969.22,126.6,1.708,-0.9637294,21
470,59,116,972.74,126.6,1.661,-0.9681747,21
471,58,116,973.78,126.6,1.652,-1.0071981,21
472,58,113,974.72,126.6,1.624,-0.9989645,21
474,58,107,977.03,126.6,1.568,-0.8949298,21
476,59,104,980.01,126.4,1.502,-0.71839374,21
477,59,102,981.71,126.4,1.484,-0.6464111,21
