time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,84,4.01,501.8,4.143,7.60775,28
5,81,27.22,502.8,4.022,5.7058125,27
6,80,30.98,503.2,3.602,6.94923,27
10,81,50.74,504.2,4.078,5.568663,27
11,81,56.43,504.6,4.078,5.19256,27
13,81,66.96,505.8,4.078,3.2242134,27
14,81,71.17,506.0,4.078,3.2873452,27
15,80,75.33,506.2,4.395,3.1700308,27
17,80,84.79,506.8,3.471,1.3301713,27
20,80,104.26,507.2,4.367,0.91240454,27
21,80,112.02,507.4,5.794,0.6673195,27
23,81,121.27,507.6,4.236,0.38274178,27
27,83,149.22,507.8,5.608,0.0,27
29,83,163.43,507.8,6.056,-0.28571868,27
31,84,176.9,507.8,6.028,-0.35697037,27
32,84,183.44,507.8,6.028,-0.7291233,27
37,84,219.39,507.8,6.503,-0.5934786,27
38,85,225.71,507.6,6.233,-0.7869843,27
39,86,231.84,507.6,5.673,-0.782113,27
42,90,251.08,507.4,6.522,-0.7753572,27
43,91,257.26,507.4,6.503,-1.9603304,27
45,99,270.49,507.4,6.392,-2.037515,27
46,98,276.92,507.2,6.354,-1.9246746,27
47,101,283.54,507.2,6.354,-2.7026093,27
48,107,290.32,507.0,6.392,-2.4366274,27
50,112,302.19,506.6,6.522,-1.9714227,27
52,117,316.24,506.4,6.457,-1.5704813,27
53,120,322.41,506.2,6.457,3.541511,27
54,121,328.67,506.2,6.531,6.0454316,27
56,121,341.04,505.8,6.457,8.166976,27
58,120,353.19,505.6,6.587,12.218217,27
59,120,357.86,505.6,6.587,16.072489,27
61,121,366.31,506.8,4.32,13.358214,27
62,122,370.41,508.0,4.059,14.608956,27
63,122,373.91,508.6,3.984,14.58215,27
65,123,381.21,509.4,3.592,14.193187,26
66,123,384.52,510.2,3.639,13.302832,26
67,123,388.7,510.8,3.984,13.109767,26
69,125,396.0,512.2,3.639,11.533794,26
70,122,399.79,512.6,3.639,11.64783,26
71,122,404.09,513.4,3.639,11.082492,26
73,127,413.89,514.2,3.639,11.055997,26
74,125,417.96,514.6,3.639,9.460212,26
76,125,425.92,515.8,3.947,8.051937,26
