data,settimana,blocco,scarico,tipo,disciplina,minuti,km_indicativi,fc_min,fc_max,note
2026-09-29,1,rientro,,facile,corsa,31,4.5,136,156,
2026-09-30,1,rientro,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-10-01,1,rientro,,facile,corsa,31,4.5,136,156,
2026-10-02,1,rientro,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-10-03,1,rientro,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-10-04,1,rientro,,lungo,corsa,33,4.8,136,156,tenere la FC nella metà bassa della zona
2026-10-06,2,rientro,,facile,corsa,32,4.7,136,156,
2026-10-07,2,rientro,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-10-08,2,rientro,,facile,corsa,32,4.7,136,156,
2026-10-09,2,rientro,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-10-10,2,rientro,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-10-11,2,rientro,,lungo,corsa,37,5.4,136,156,tenere la FC nella metà bassa della zona
2026-10-13,3,rientro,,facile,corsa,34,4.9,136,156,
2026-10-14,3,rientro,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-10-15,3,rientro,,facile,corsa,34,4.9,136,156,
2026-10-16,3,rientro,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-10-17,3,rientro,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-10-18,3,rientro,,lungo,corsa,41,6.0,136,156,tenere la FC nella metà bassa della zona
2026-10-20,4,rientro,si,facile,corsa,23,3.3,136,156,
2026-10-21,4,rientro,si,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-10-22,4,rientro,si,facile,corsa,23,3.3,136,156,
2026-10-23,4,rientro,si,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-10-24,4,rientro,si,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-10-25,4,rientro,si,lungo,corsa,29,4.3,136,156,tenere la FC nella metà bassa della zona
2026-10-27,5,base-1,,facile,corsa,23,3.4,136,156,
2026-10-28,5,base-1,,potenziamento,supporto,20,,,,"calf raise: due gambe, poi gamba singola, poi con carico"
2026-10-29,5,base-1,,facile,corsa,23,3.4,136,156,
2026-10-30,5,base-1,,mobilita,supporto,15,,,,mobilità caviglia e allungamento fascia plantare
2026-10-31,5,base-1,,facile_allunghi,corsa,23,3.4,136,156,"5x100m in scioltezza a fine seduta, recupero camminando"
2026-11-01,5,base-1,,lungo,corsa,50,7.3,136,156,tenere la FC nella metà bassa della zona
2026-11-03,6,base-1,,facile,corsa,25,3.6,136,156,
